Rank,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,Year
6,Houston Rockets,W,M,55,27,0.6709999999999999,4.23,110.25,105.67,4.58,3.57,109.93,106.05,3.88,1993
7,Portland Trail Blazers,W,P,51,31,0.622,3.11,108.85,105.83,3.02,2.92,108.66,105.84,2.82,1993
8,San Antonio Spurs,W,M,49,33,0.598,2.67,110.2,107.44,2.76,2.21,110.04,107.76,2.28,1993
9,Utah Jazz,W,M,47,35,0.573,2.17,110.1,107.82,2.27,1.74,109.96,108.13,1.83,1993
10,Indiana Pacers,E,C,41,41,0.5,1.7,112.57,110.91,1.66,1.77,112.7,110.95,1.75,1993
11,Orlando Magic,E,A,41,41,0.5,1.32,109.06,107.75,1.31,1.35,109.07,107.71,1.35,1993
12,New Jersey Nets,E,A,43,39,0.524,1.26,107.19,105.91,1.28,1.2,107.04,105.81,1.23,1993
13,Boston Celtics,E,A,48,34,0.585,0.89,109.3,108.44,0.86,0.93,109.41,108.49,0.92,1993
14,Los Angeles Clippers,W,P,41,41,0.5,0.35,107.99,107.71,0.27,0.32,107.91,107.68,0.23,1993
15,Charlotte Hornets,E,C,44,38,0.537,-0.24,110.22,110.55,-0.33,-0.02,110.32,110.41,-0.09,1993
16,Atlanta Hawks,E,C,43,39,0.524,-0.87,109.91,110.79,-0.88,-0.67,110.04,110.71,-0.67,1993
17,Miami Heat,E,A,36,46,0.439,-1.15,108.51,109.67,-1.16,-0.93,108.73,109.67,-0.94,1993
18,Detroit Pistons,E,C,40,42,0.488,-1.39,108.0,109.34,-1.34,-1.1,108.02,109.06,-1.04,1993
19,Golden State Warriors,W,P,34,48,0.415,-0.99,109.62,110.78,-1.16,-0.94,109.74,110.86,-1.12,1993
20,Los Angeles Lakers,W,P,39,43,0.47600000000000003,-1.27,108.1,109.46,-1.36,-1.2,108.13,109.44,-1.31,1993
21,Denver Nuggets,W,M,36,46,0.439,-1.74,105.19,106.98,-1.79,-2.14,104.91,107.1,-2.19,1993
22,Sacramento Kings,W,P,25,57,0.305,-3.17,107.06,110.26,-3.2,-3.0,107.14,110.18,-3.04,1993
23,Milwaukee Bucks,E,C,28,54,0.341,-3.73,106.78,110.8,-4.02,-3.26,106.91,110.43,-3.52,1993
24,Philadelphia 76ers,E,A,26,56,0.317,-5.77,105.3,110.94,-5.65,-5.25,105.6,110.73,-5.12,1993
25,Washington Bullets,E,A,22,60,0.268,-7.04,104.23,111.39,-7.16,-6.49,104.53,111.13,-6.59,1993
26,Minnesota Timberwolves,W,M,19,63,0.23199999999999998,-7.78,104.4,112.65,-8.25,-7.62,104.56,112.63,-8.07,1993
27,Dallas Mavericks,W,M,11,71,0.134,-15.2,100.39,115.5,-15.11,-14.68,100.7,115.31,-14.61,1993
1,Seattle SuperSonics,W,P,63,19,0.768,9.09,111.79,102.54,9.25,8.68,111.55,102.71,8.84,1994
2,New York Knicks,E,A,57,25,0.695,6.99,106.3,98.86,7.44,6.48,105.75,98.84,6.9,1994
3,San Antonio Spurs,W,M,55,27,0.6709999999999999,5.26,111.19,105.49,5.7,5.05,111.31,105.83,5.47,1994
4,Atlanta Hawks,E,C,57,25,0.695,5.27,107.71,102.37,5.33,4.94,107.43,102.43,5.0,1994
5,Phoenix Suns,W,P,56,26,0.6829999999999999,4.84,112.34,107.39,4.94,4.68,112.4,107.62,4.78,1994
6,Houston Rockets,W,M,58,24,0.7070000000000001,4.32,106.42,101.95,4.47,4.19,106.27,101.93,4.34,1994
7,Utah Jazz,W,M,53,29,0.6459999999999999,4.22,109.21,104.77,4.43,4.1,109.28,104.97,4.31,1994
8,Cleveland Cavaliers,E,C,47,35,0.573,4.02,110.05,105.82,4.23,3.64,109.85,106.03,3.83,1994
9,Orlando Magic,E,A,50,32,0.61,3.89,111.28,107.34,3.94,3.68,111.29,107.57,3.73,1994
10,Indiana Pacers,E,C,47,35,0.573,3.45,108.49,105.06,3.43,3.26,108.4,105.16,3.24,1994
11,Chicago Bulls,E,C,55,27,0.6709999999999999,3.09,106.85,103.54,3.31,2.87,106.62,103.54,3.08,1994
12,Portland Trail Blazers,W,P,47,35,0.573,2.63,108.87,106.23,2.64,2.6,108.84,106.24,2.6,1994
13,Miami Heat,E,A,42,40,0.512,2.67,110.21,107.34,2.88,2.4,110.13,107.54,2.59,1994
14,New Jersey Nets,E,A,45,37,0.5489999999999999,2.2,107.73,105.38,2.34,2.11,107.65,105.39,2.25,1994
15,Golden State Warriors,W,P,50,32,0.61,1.74,108.75,107.02,1.73,1.76,108.77,107.02,1.75,1994
16,Denver Nuggets,W,M,42,40,0.512,1.49,104.58,103.14,1.45,1.54,104.49,102.98,1.51,1994
17,Charlotte Hornets,E,C,41,41,0.5,-0.22,108.98,109.11,-0.12,-0.23,109.11,109.25,-0.13,1994
18,Los Angeles Lakers,W,P,33,49,0.402,-4.29,105.48,109.89,-4.42,-3.93,105.66,109.71,-4.04,1994
19,Boston Celtics,E,A,32,50,0.39,-4.28,104.91,109.45,-4.54,-4.27,104.87,109.4,-4.53,1994
20,Los Angeles Clippers,W,P,27,55,0.32899999999999996,-5.72,103.66,109.31,-5.65,-5.28,103.8,109.01,-5.21,1994
21,Sacramento Kings,W,P,28,54,0.341,-5.77,104.01,109.83,-5.82,-5.32,104.19,109.56,-5.37,1994
22,Milwaukee Bucks,E,C,20,62,0.244,-6.48,103.18,109.97,-6.79,-6.24,103.24,109.79,-6.55,1994
23,Minnesota Timberwolves,W,M,20,62,0.244,-6.93,102.62,109.88,-7.26,-6.54,102.88,109.75,-6.86,1994
24,Washington Bullets,E,A,24,58,0.293,-7.38,105.07,112.82,-7.75,-7.13,105.32,112.81,-7.49,1994
25,Philadelphia 76ers,E,A,25,57,0.305,-7.62,102.32,110.27,-7.95,-7.37,102.41,110.09,-7.69,1994
26,Detroit Pistons,E,C,20,62,0.244,-7.78,103.33,111.39,-8.06,-7.45,103.52,111.25,-7.73,1994
27,Dallas Mavericks,W,M,13,69,0.159,-8.7,101.16,110.31,-9.15,-8.19,101.45,110.07,-8.62,1994
1,Utah Jazz,W,M,60,22,0.732,7.99,115.18,106.48,8.7,7.75,115.0,106.58,8.43,1995
2,Seattle SuperSonics,W,P,57,25,0.695,8.18,115.51,107.06,8.45,7.91,115.34,107.19,8.16,1995
3,Orlando Magic,E,A,57,25,0.695,7.06,115.89,108.48,7.41,6.44,115.9,109.13,6.77,1995
4,San Antonio Spurs,W,M,62,20,0.7559999999999999,5.96,112.31,106.04,6.27,5.9,112.13,105.93,6.19,1995
5,Chicago Bulls,E,C,47,35,0.573,4.83,110.15,105.13,5.02,4.31,110.0,105.51,4.49,1995
6,Phoenix Suns,W,P,59,23,0.72,3.88,115.01,111.06,3.95,3.85,115.09,111.17,3.92,1995
7,Portland Trail Blazers,W,P,44,38,0.537,3.82,110.2,106.35,3.85,3.79,109.98,106.16,3.82,1995
8,Indiana Pacers,E,C,52,30,0.634,3.7,110.54,106.36,4.18,3.35,110.52,106.71,3.81,1995
9,Charlotte Hornets,E,C,50,32,0.61,3.28,110.4,106.75,3.65,2.86,110.31,107.1,3.21,1995
10,New York Knicks,E,A,55,27,0.6709999999999999,3.11,107.95,104.41,3.54,2.78,107.7,104.51,3.18,1995
11,Houston Rockets,W,M,47,35,0.573,2.12,110.41,108.16,2.25,2.32,110.37,107.93,2.44,1995
12,Atlanta Hawks,E,C,42,40,0.512,1.28,107.04,105.76,1.28,1.05,106.97,105.91,1.06,1995
13,Denver Nuggets,W,M,41,41,0.5,0.84,109.73,108.92,0.81,0.95,109.66,108.75,0.91,1995
14,Cleveland Cavaliers,E,C,43,39,0.524,0.62,106.36,105.7,0.66,0.55,106.36,105.77,0.6,1995
15,Los Angeles Lakers,W,P,48,34,0.585,-0.22,109.95,110.16,-0.22,-0.01,109.95,109.96,-0.01,1995
16,Sacramento Kings,W,P,39,43,0.47600000000000003,-1.0,106.27,107.3,-1.02,-0.75,106.09,106.86,-0.77,1995
17,Miami Heat,E,A,32,50,0.39,-1.63,108.91,110.59,-1.68,-1.85,109.01,110.91,-1.9,1995
18,Boston Celtics,E,A,35,47,0.42700000000000005,-1.88,109.26,111.22,-1.96,-1.92,109.43,111.43,-2.0,1995
19,Dallas Mavericks,W,M,36,46,0.439,-2.9,108.01,111.02,-3.01,-2.4,108.12,110.61,-2.49,1995
20,New Jersey Nets,E,A,30,52,0.366,-3.13,105.85,109.3,-3.45,-3.28,105.88,109.46,-3.58,1995
21,Milwaukee Bucks,E,C,34,48,0.415,-4.37,106.98,111.46,-4.48,-4.3,107.18,111.58,-4.4,1995
22,Golden State Warriors,W,P,26,56,0.317,-5.41,107.13,112.77,-5.64,-4.91,107.28,112.41,-5.12,1995
23,Philadelphia 76ers,E,A,24,58,0.293,-5.07,104.8,110.36,-5.56,-5.07,104.83,110.36,-5.53,1995
24,Washington Bullets,E,A,21,61,0.256,-5.6,105.93,111.83,-5.9,-5.56,106.06,111.91,-5.85,1995
25,Detroit Pistons,E,C,28,54,0.341,-7.29,105.66,113.42,-7.76,-7.09,105.98,113.51,-7.52,1995
26,Minnesota Timberwolves,W,M,21,61,0.256,-9.0,103.48,113.19,-9.71,-8.22,103.69,112.58,-8.89,1995
27,Los Angeles Clippers,W,P,17,65,0.207,-9.16,102.16,111.8,-9.64,-8.44,102.24,111.13,-8.9,1995
1,Chicago Bulls,E,C,72,10,0.878,12.24,116.0,102.51,13.49,11.8,115.72,102.71,13.01,1996
2,Seattle SuperSonics,W,P,64,18,0.78,7.79,111.19,103.02,8.17,7.39,110.95,103.22,7.73,1996
3,Utah Jazz,W,M,55,27,0.6709999999999999,6.59,114.0,106.64,7.37,6.24,113.95,106.98,6.96,1996
4,San Antonio Spurs,W,M,59,23,0.72,6.3,110.86,104.1,6.75,5.97,110.67,104.29,6.38,1996
5,Orlando Magic,E,A,60,22,0.732,5.56,113.57,107.76,5.81,5.39,113.58,107.93,5.65,1996
6,Los Angeles Lakers,W,P,53,29,0.6459999999999999,4.45,112.06,107.43,4.64,4.21,112.04,107.68,4.36,1996
7,Indiana Pacers,E,C,52,30,0.634,3.24,111.64,108.06,3.57,3.1,111.56,108.13,3.44,1996
8,Cleveland Cavaliers,E,C,47,35,0.573,2.59,110.82,107.72,3.11,2.49,110.76,107.76,3.0,1996
9,Detroit Pistons,E,C,46,36,0.561,2.5,108.88,105.9,2.98,2.45,108.77,105.84,2.93,1996
10,New York Knicks,E,A,47,35,0.573,2.32,106.75,104.29,2.45,2.24,106.59,104.2,2.39,1996
11,Portland Trail Blazers,W,P,44,38,0.537,2.35,106.65,104.18,2.47,2.21,106.45,104.16,2.3,1996
12,Houston Rockets,W,M,48,34,0.585,1.74,109.86,108.08,1.78,1.63,109.86,108.22,1.64,1996
13,Miami Heat,E,A,42,40,0.512,1.43,105.99,104.52,1.47,1.45,105.89,104.37,1.52,1996
14,Atlanta Hawks,E,C,46,36,0.561,1.22,110.17,108.78,1.39,1.28,110.18,108.71,1.47,1996
15,Washington Bullets,E,A,39,43,0.47600000000000003,1.06,109.26,108.25,1.0,0.98,109.2,108.26,0.94,1996
16,Phoenix Suns,W,P,41,41,0.5,0.33,110.74,110.52,0.22,0.28,110.87,110.72,0.15,1996
17,Charlotte Hornets,E,C,41,41,0.5,-0.57,112.01,112.59,-0.58,-0.49,112.14,112.61,-0.47,1996
18,Golden State Warriors,W,P,36,46,0.439,-1.45,109.03,110.63,-1.6,-1.42,109.16,110.74,-1.58,1996
19,Sacramento Kings,W,P,39,43,0.47600000000000003,-2.71,106.92,109.8,-2.87,-2.62,107.0,109.8,-2.8,1996
20,Denver Nuggets,W,M,35,47,0.42700000000000005,-2.71,105.89,108.8,-2.91,-2.62,105.92,108.75,-2.83,1996
21,Boston Celtics,E,A,33,49,0.402,-3.4,106.93,110.6,-3.67,-3.37,106.92,110.55,-3.63,1996
22,Los Angeles Clippers,W,P,29,53,0.354,-3.6,107.22,111.1,-3.88,-3.47,107.37,111.12,-3.76,1996
23,New Jersey Nets,E,A,30,52,0.366,-4.23,102.77,107.24,-4.47,-4.14,102.72,107.08,-4.37,1996
24,Dallas Mavericks,W,M,26,56,0.317,-4.9,106.46,111.69,-5.23,-4.71,106.63,111.68,-5.05,1996
25,Milwaukee Bucks,E,C,25,57,0.305,-5.3,106.46,112.28,-5.82,-4.93,106.64,112.03,-5.39,1996
26,Minnesota Timberwolves,W,M,26,56,0.317,-5.35,104.88,110.58,-5.7,-5.14,104.99,110.48,-5.49,1996
27,Toronto Raptors,E,C,21,61,0.256,-7.51,104.74,112.75,-8.01,-7.2,104.87,112.54,-7.66,1996
28,Philadelphia 76ers,E,A,18,64,0.22,-10.0,102.84,113.77,-10.93,-9.45,103.12,113.44,-10.32,1996
29,Vancouver Grizzlies,W,M,15,67,0.183,-9.98,98.36,109.35,-10.99,-9.55,98.4,108.94,-10.54,1996
1,Chicago Bulls,E,C,69,13,0.841,10.8,114.88,102.99,11.9,10.7,115.01,103.19,11.82,1997
2,Utah Jazz,W,M,64,18,0.78,8.79,114.41,104.75,9.66,7.97,113.94,105.23,8.72,1997
3,Seattle SuperSonics,W,P,57,25,0.695,7.68,112.02,103.67,8.35,6.91,111.5,104.03,7.47,1997
4,Miami Heat,E,A,61,21,0.7440000000000001,5.49,107.67,101.38,6.3,5.56,107.71,101.31,6.4,1997
5,Detroit Pistons,E,C,54,28,0.659,5.24,111.44,105.29,6.15,5.44,111.68,105.3,6.38,1997
6,Atlanta Hawks,E,C,56,26,0.6829999999999999,5.44,109.37,103.26,6.1,5.52,109.42,103.2,6.22,1997
7,Houston Rockets,W,M,57,25,0.695,4.48,109.31,104.57,4.74,3.85,108.82,104.8,4.02,1997
8,Portland Trail Blazers,W,P,49,33,0.598,4.17,108.59,104.05,4.54,3.56,108.07,104.24,3.83,1997
9,Los Angeles Lakers,W,P,56,26,0.6829999999999999,4.27,108.84,104.44,4.4,3.66,108.34,104.65,3.7,1997
10,New York Knicks,E,A,57,25,0.695,3.12,105.26,101.9,3.36,3.31,105.29,101.68,3.61,1997
11,Cleveland Cavaliers,E,C,42,40,0.512,1.84,105.44,103.38,2.06,2.32,105.7,103.08,2.61,1997
12,Charlotte Hornets,E,C,54,28,0.659,1.87,111.64,109.59,2.04,2.13,112.02,109.65,2.37,1997
13,Washington Bullets,E,A,44,38,0.537,1.62,107.3,105.63,1.67,1.77,107.47,105.59,1.88,1997
14,Indiana Pacers,E,C,39,43,0.47600000000000003,0.98,106.98,105.88,1.1,1.49,107.36,105.67,1.69,1997
15,Phoenix Suns,W,P,40,42,0.488,0.66,109.97,109.17,0.81,0.21,109.71,109.44,0.27,1997
16,Orlando Magic,E,A,45,37,0.5489999999999999,-0.35,106.36,106.85,-0.49,-0.07,106.67,106.8,-0.14,1997
17,Milwaukee Bucks,E,C,33,49,0.402,-1.89,106.73,108.92,-2.19,-1.38,107.12,108.7,-1.59,1997
18,Minnesota Timberwolves,W,M,40,42,0.488,-1.48,106.25,107.97,-1.72,-1.82,105.92,108.06,-2.13,1997
19,Toronto Raptors,E,C,30,52,0.366,-3.12,105.33,108.86,-3.53,-2.56,105.71,108.57,-2.87,1997
20,Los Angeles Clippers,W,P,36,46,0.439,-2.35,105.91,108.51,-2.6,-2.66,105.6,108.58,-2.98,1997
21,Sacramento Kings,W,P,34,48,0.415,-3.38,105.61,109.41,-3.8,-3.64,105.35,109.47,-4.12,1997
22,New Jersey Nets,E,A,26,56,0.317,-4.56,105.47,110.47,-5.0,-3.89,106.0,110.22,-4.22,1997
23,Golden State Warriors,W,P,30,52,0.366,-4.71,108.01,113.09,-5.08,-4.9,107.93,113.27,-5.34,1997
24,Philadelphia 76ers,E,A,22,60,0.268,-6.54,105.33,112.08,-6.75,-5.89,105.88,111.9,-6.02,1997
25,Boston Celtics,E,A,15,67,0.183,-7.33,104.5,112.12,-7.62,-6.62,105.0,111.82,-6.82,1997
26,Denver Nuggets,W,M,21,61,0.256,-6.28,105.43,112.09,-6.66,-6.4,105.3,112.15,-6.85,1997
27,Dallas Mavericks,W,M,24,58,0.293,-6.35,102.09,109.3,-7.21,-6.47,101.81,109.18,-7.37,1997
28,San Antonio Spurs,W,M,20,62,0.244,-7.88,104.22,113.16,-8.94,-7.93,104.14,113.15,-9.02,1997
29,Vancouver Grizzlies,W,M,14,68,0.171,-10.23,101.27,112.87,-11.6,-10.17,101.16,112.72,-11.55,1997
1,Chicago Bulls,E,C,62,20,0.7559999999999999,7.11,108.71,100.86,7.85,7.24,108.88,100.87,8.0,1998
2,Los Angeles Lakers,W,P,61,21,0.7440000000000001,7.74,112.51,104.48,8.03,6.88,112.02,104.92,7.1,1998
3,Indiana Pacers,E,C,58,24,0.7070000000000001,6.09,109.32,102.52,6.79,6.25,109.56,102.58,6.98,1998
4,Seattle SuperSonics,W,P,61,21,0.7440000000000001,7.17,112.39,104.68,7.7,6.33,111.91,105.12,6.79,1998
5,Utah Jazz,W,M,62,20,0.7559999999999999,6.54,113.22,105.87,7.35,5.73,112.8,106.35,6.45,1998
6,Miami Heat,E,A,55,27,0.6709999999999999,4.93,108.47,102.81,5.65,5.09,108.69,102.85,5.83,1998
7,Phoenix Suns,W,P,56,26,0.6829999999999999,5.18,108.27,102.49,5.78,4.44,107.68,102.73,4.95,1998
8,Atlanta Hawks,E,C,50,32,0.61,3.51,109.12,105.25,3.87,3.85,109.56,105.31,4.25,1998
9,San Antonio Spurs,W,M,56,26,0.6829999999999999,3.99,104.7,100.22,4.48,3.3,103.99,100.28,3.71,1998
10,Cleveland Cavaliers,E,C,47,35,0.573,2.73,102.87,99.95,2.92,3.06,102.94,99.65,3.29,1998
11,New York Knicks,E,A,43,39,0.524,2.46,103.83,101.1,2.73,2.74,103.91,100.87,3.05,1998
12,Charlotte Hornets,E,C,51,31,0.622,2.0,108.23,106.16,2.08,2.45,108.69,106.11,2.59,1998
13,Detroit Pistons,E,C,37,45,0.451,1.57,106.33,104.56,1.77,1.95,106.65,104.47,2.19,1998
14,New Jersey Nets,E,A,43,39,0.524,1.57,109.14,107.35,1.78,1.89,109.61,107.48,2.13,1998
15,Washington Wizards,E,A,42,40,0.512,0.59,105.83,105.26,0.57,1.11,106.23,105.07,1.16,1998
16,Portland Trail Blazers,W,P,46,36,0.561,1.4,104.59,103.04,1.55,0.83,104.01,103.09,0.92,1998
17,Minnesota Timberwolves,W,M,45,37,0.5489999999999999,0.71,108.48,107.77,0.71,0.17,108.14,108.02,0.12,1998
18,Orlando Magic,E,A,41,41,0.5,-1.07,103.34,104.6,-1.26,-0.53,103.7,104.35,-0.65,1998
19,Houston Rockets,W,M,41,41,0.5,-0.76,108.3,109.21,-0.9,-1.22,108.04,109.46,-1.42,1998
20,Milwaukee Bucks,E,C,36,46,0.439,-1.91,104.2,106.36,-2.16,-1.33,104.63,106.14,-1.51,1998
21,Boston Celtics,E,A,36,46,0.439,-2.62,103.4,106.29,-2.89,-1.96,103.93,106.08,-2.16,1998
22,Philadelphia 76ers,E,A,31,51,0.37799999999999995,-2.39,103.56,106.31,-2.75,-1.89,103.96,106.14,-2.19,1998
23,Sacramento Kings,W,P,27,55,0.32899999999999996,-5.59,101.54,107.7,-6.16,-5.83,101.19,107.62,-6.43,1998
24,Dallas Mavericks,W,M,20,62,0.244,-6.11,101.52,108.21,-6.7,-6.33,101.19,108.13,-6.94,1998
25,Vancouver Grizzlies,W,M,19,63,0.23199999999999998,-7.3,104.95,112.83,-7.88,-7.47,104.86,112.93,-8.07,1998
26,Los Angeles Clippers,W,P,17,65,0.207,-7.37,104.06,112.06,-7.99,-7.53,103.93,112.11,-8.18,1998
27,Toronto Raptors,E,C,16,66,0.195,-9.27,101.74,111.73,-9.99,-8.32,102.45,111.4,-8.95,1998
28,Golden State Warriors,W,P,19,63,0.23199999999999998,-9.12,96.53,106.31,-9.79,-9.2,96.09,105.98,-9.89,1998
29,Denver Nuggets,W,M,11,71,0.134,-11.78,99.93,113.1,-13.16,-11.74,99.84,112.95,-13.11,1998
1,San Antonio Spurs,W,M,37,13,0.74,8.06,105.08,95.9,9.19,7.12,103.97,95.84,8.13,1999
2,Utah Jazz,W,M,37,13,0.74,6.52,106.47,99.06,7.41,5.54,105.27,98.96,6.31,1999
3,Portland Trail Blazers,W,P,35,15,0.7,6.36,105.54,98.5,7.03,5.67,104.49,98.24,6.26,1999
4,Miami Heat,E,A,33,17,0.66,4.96,105.76,99.91,5.85,5.11,106.23,100.23,6.0,1999
5,Detroit Pistons,E,C,29,21,0.58,3.42,105.28,101.14,4.14,3.97,106.21,101.48,4.74,1999
6,Indiana Pacers,E,C,33,17,0.66,3.74,109.68,105.34,4.34,3.86,110.56,106.1,4.47,1999
7,Orlando Magic,E,A,33,17,0.66,2.6,100.84,98.0,2.84,3.11,101.48,98.06,3.42,1999
8,Atlanta Hawks,E,C,31,19,0.62,2.9,101.41,98.09,3.32,2.82,101.55,98.33,3.23,1999
9,Philadelphia 76ers,E,A,28,22,0.56,2.06,100.91,98.67,2.24,2.56,101.52,98.73,2.79,1999
10,Los Angeles Lakers,W,P,31,19,0.62,3.02,108.16,105.02,3.15,2.67,107.69,104.91,2.78,1999
11,Phoenix Suns,W,P,27,23,0.54,2.26,106.88,104.09,2.78,2.15,106.5,103.85,2.65,1999
12,Milwaukee Bucks,E,C,28,22,0.56,1.66,105.72,103.98,1.74,1.66,106.3,104.56,1.74,1999
13,New York Knicks,E,A,27,23,0.54,1.02,99.41,98.3,1.11,1.45,99.81,98.22,1.6,1999
14,Houston Rockets,W,M,31,19,0.62,2.32,106.13,103.61,2.52,1.39,105.12,103.62,1.5,1999
15,Charlotte Hornets,E,C,26,24,0.52,-0.1,102.99,103.12,-0.13,0.63,103.96,103.28,0.68,1999
16,Minnesota Timberwolves,W,M,25,25,0.5,0.38,102.58,102.08,0.5,-0.17,101.76,101.88,-0.12,1999
17,Sacramento Kings,W,P,27,23,0.54,-0.42,103.24,103.8,-0.56,-0.89,102.64,103.72,-1.08,1999
18,Cleveland Cavaliers,E,C,22,28,0.44,-1.72,100.56,102.74,-2.18,-0.94,101.42,102.73,-1.3,1999
19,Seattle SuperSonics,W,P,25,25,0.5,-1.08,106.0,107.2,-1.21,-1.43,105.48,107.08,-1.6,1999
20,Toronto Raptors,E,C,23,27,0.46,-1.64,102.92,104.91,-1.98,-1.31,103.64,105.26,-1.62,1999
