Rank,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,Year
29,New Orleans Hornets,W,SW,18,64,0.22,-7.07,100.72,108.89,-8.17,-6.3,101.0,108.32,-7.32,2005
30,Atlanta Hawks,E,SE,13,69,0.159,-9.71,101.23,111.99,-10.76,-9.62,101.45,112.09,-10.64,2005
1,San Antonio Spurs,W,SW,63,19,0.768,6.82,108.02,100.32,7.7,6.69,107.93,100.38,7.54,2006
2,Detroit Pistons,E,C,64,18,0.78,6.67,111.59,103.9,7.69,6.23,111.35,104.15,7.2,2006
3,Dallas Mavericks,W,SW,60,22,0.732,6.07,112.87,105.73,7.14,5.96,113.06,106.07,6.99,2006
4,Phoenix Suns,W,P,54,28,0.659,5.55,112.27,106.45,5.82,5.48,112.32,106.58,5.74,2006
5,Memphis Grizzlies,W,SW,49,33,0.598,3.7,107.11,102.69,4.42,3.74,107.1,102.66,4.44,2006
6,Miami Heat,E,SE,52,30,0.634,3.87,109.53,105.34,4.19,3.59,109.28,105.38,3.9,2006
7,Los Angeles Lakers,W,P,45,37,0.5489999999999999,2.5,109.26,106.59,2.67,2.53,109.46,106.77,2.69,2006
8,Cleveland Cavaliers,E,C,50,32,0.61,2.23,108.49,106.01,2.48,2.17,108.49,106.07,2.42,2006
9,Los Angeles Clippers,W,P,47,35,0.573,1.57,106.09,104.24,1.85,1.75,106.11,104.08,2.03,2006
10,Indiana Pacers,E,C,41,41,0.5,1.89,105.3,103.0,2.3,1.62,104.91,102.9,2.01,2006
11,Washington Wizards,E,SE,42,40,0.512,1.85,110.01,107.93,2.08,1.56,109.91,108.14,1.76,2006
12,Sacramento Kings,W,P,44,38,0.537,1.54,107.45,105.8,1.65,1.61,107.51,105.8,1.72,2006
13,New Jersey Nets,E,A,49,33,0.598,1.37,104.66,103.24,1.42,1.11,104.24,103.1,1.15,2006
14,Chicago Bulls,E,C,41,41,0.5,0.63,104.64,103.99,0.64,0.51,104.38,103.85,0.52,2006
15,Denver Nuggets,W,NW,44,38,0.537,0.23,106.16,106.01,0.15,0.36,106.22,105.94,0.28,2006
16,Golden State Warriors,W,P,34,48,0.415,-1.35,105.36,106.79,-1.44,-1.11,105.55,106.74,-1.18,2006
17,Milwaukee Bucks,E,C,40,42,0.488,-1.04,106.81,107.98,-1.17,-1.07,106.8,108.0,-1.2,2006
18,Orlando Magic,E,SE,36,46,0.439,-1.07,106.99,108.25,-1.26,-1.26,106.84,108.29,-1.45,2006
19,Houston Rockets,W,SW,34,48,0.415,-1.59,102.41,104.42,-2.02,-1.31,102.5,104.2,-1.7,2006
20,Boston Celtics,E,A,33,49,0.402,-1.54,106.12,107.86,-1.73,-1.59,106.05,107.83,-1.78,2006
21,Minnesota Timberwolves,W,NW,33,49,0.402,-1.88,103.52,105.65,-2.13,-1.75,103.59,105.58,-1.99,2006
22,Philadelphia 76ers,E,A,38,44,0.46299999999999997,-1.95,106.89,109.0,-2.1,-2.11,106.79,109.06,-2.27,2006
23,Utah Jazz,W,NW,41,41,0.5,-2.63,104.93,107.9,-2.96,-2.49,104.98,107.79,-2.81,2006
24,New Orleans/Oklahoma City Hornets,W,SW,38,44,0.46299999999999997,-2.82,104.5,107.77,-3.27,-2.51,104.62,107.56,-2.94,2006
25,Toronto Raptors,E,A,27,55,0.32899999999999996,-2.99,110.22,113.34,-3.12,-3.03,110.4,113.57,-3.17,2006
26,Seattle SuperSonics,W,NW,35,47,0.42700000000000005,-3.02,111.99,115.45,-3.45,-2.88,112.49,115.79,-3.31,2006
27,Charlotte Bobcats,E,SE,26,56,0.317,-4.0,103.14,107.48,-4.33,-3.9,103.06,107.27,-4.21,2006
28,Atlanta Hawks,E,SE,26,56,0.317,-4.76,107.2,112.46,-5.26,-4.69,107.29,112.47,-5.17,2006
29,New York Knicks,E,A,23,59,0.28,-6.4,104.74,111.87,-7.14,-6.3,104.74,111.74,-7.0,2006
30,Portland Trail Blazers,W,NW,21,61,0.256,-9.45,102.06,112.87,-10.81,-8.91,102.35,112.56,-10.21,2006
1,San Antonio Spurs,W,SW,58,24,0.7070000000000001,8.43,110.11,100.64,9.47,8.35,109.84,100.47,9.37,2007
2,Dallas Mavericks,W,SW,67,15,0.8170000000000001,7.22,112.32,104.12,8.2,7.28,112.23,103.98,8.25,2007
3,Phoenix Suns,W,P,61,21,0.7440000000000001,7.3,114.68,106.9,7.78,7.27,114.66,106.9,7.76,2007
4,Houston Rockets,W,SW,52,30,0.634,4.85,106.64,101.31,5.33,5.04,106.43,100.9,5.53,2007
5,Chicago Bulls,E,C,49,33,0.598,5.01,105.71,100.32,5.39,4.52,105.36,100.5,4.86,2007
6,Detroit Pistons,E,C,53,29,0.6459999999999999,4.16,109.8,104.87,4.93,3.68,109.72,105.33,4.39,2007
7,Cleveland Cavaliers,E,C,50,32,0.61,3.83,106.15,102.1,4.05,3.33,105.92,102.41,3.52,2007
8,Utah Jazz,W,NW,51,31,0.622,2.87,110.65,107.4,3.25,3.06,110.7,107.24,3.45,2007
9,Denver Nuggets,W,NW,45,37,0.5489999999999999,1.62,108.12,106.51,1.62,1.69,107.95,106.24,1.7,2007
10,Toronto Raptors,E,A,47,35,0.573,0.99,107.92,106.56,1.36,0.61,107.84,106.91,0.93,2007
11,Orlando Magic,E,SE,40,42,0.488,0.78,105.99,105.03,0.96,0.34,105.76,105.28,0.48,2007
12,Los Angeles Lakers,W,P,42,40,0.512,-0.07,109.09,109.28,-0.19,0.24,109.18,109.02,0.16,2007
13,Golden State Warriors,W,P,42,40,0.512,-0.34,107.62,107.84,-0.22,-0.01,107.61,107.48,0.14,2007
14,Los Angeles Clippers,W,P,40,42,0.488,-0.46,105.9,106.55,-0.65,-0.07,105.91,106.14,-0.22,2007
15,Washington Wizards,E,SE,41,41,0.5,-0.51,110.57,111.28,-0.71,-0.8,110.7,111.71,-1.01,2007
16,New Jersey Nets,E,A,41,41,0.5,-0.77,106.45,107.43,-0.97,-1.0,106.49,107.7,-1.22,2007
17,Sacramento Kings,W,P,33,49,0.402,-1.8,106.79,108.59,-1.8,-1.35,106.92,108.23,-1.31,2007
18,New Orleans/Oklahoma City Hornets,W,SW,39,43,0.47600000000000003,-1.57,105.68,107.51,-1.83,-1.2,105.78,107.19,-1.41,2007
19,Miami Heat,E,SE,44,38,0.537,-0.91,105.25,106.36,-1.12,-1.21,105.23,106.67,-1.44,2007
20,Indiana Pacers,E,C,35,47,0.42700000000000005,-2.44,103.7,106.21,-2.51,-2.62,103.72,106.44,-2.72,2007
21,Seattle SuperSonics,W,NW,31,51,0.37799999999999995,-2.89,108.21,111.52,-3.31,-2.45,108.45,111.27,-2.82,2007
22,New York Knicks,E,A,33,49,0.402,-2.85,106.39,109.53,-3.14,-3.06,106.45,109.82,-3.38,2007
23,Minnesota Timberwolves,W,NW,32,50,0.39,-3.67,104.58,108.64,-4.06,-3.16,104.64,108.15,-3.51,2007
24,Philadelphia 76ers,E,A,35,47,0.42700000000000005,-3.02,104.42,107.77,-3.35,-3.26,104.43,108.04,-3.61,2007
25,Boston Celtics,E,A,24,58,0.293,-3.41,104.07,107.96,-3.89,-3.71,103.98,108.18,-4.19,2007
26,Portland Trail Blazers,W,NW,32,50,0.39,-4.29,105.94,110.79,-4.85,-3.78,106.13,110.42,-4.29,2007
27,Charlotte Bobcats,E,SE,33,49,0.402,-3.74,104.29,108.34,-4.04,-3.97,104.23,108.52,-4.3,2007
28,Milwaukee Bucks,E,C,28,54,0.341,-4.38,107.63,112.34,-4.71,-4.44,107.89,112.66,-4.77,2007
29,Memphis Grizzlies,W,SW,22,60,0.268,-5.15,107.37,112.95,-5.58,-4.44,107.74,112.54,-4.81,2007
30,Atlanta Hawks,E,SE,30,52,0.366,-4.76,103.83,109.24,-5.41,-4.86,103.98,109.5,-5.52,2007
1,Boston Celtics,E,A,66,16,0.805,10.26,111.1,99.75,11.35,9.31,110.55,100.23,10.32,2008
2,Los Angeles Lakers,W,P,57,25,0.695,7.26,113.71,106.08,7.63,7.34,113.72,105.99,7.73,2008
3,Detroit Pistons,E,C,59,23,0.72,7.39,112.09,103.64,8.45,6.67,111.76,104.09,7.66,2008
4,Utah Jazz,W,NW,54,28,0.659,6.88,114.52,107.05,7.47,6.87,114.6,107.15,7.44,2008
5,New Orleans Hornets,W,SW,56,26,0.6829999999999999,5.28,112.21,106.44,5.77,5.46,112.3,106.34,5.96,2008
6,San Antonio Spurs,W,SW,56,26,0.6829999999999999,4.79,107.91,102.54,5.37,5.1,107.8,102.11,5.68,2008
7,Houston Rockets,W,SW,55,27,0.6709999999999999,4.68,107.47,102.17,5.3,4.83,107.3,101.85,5.45,2008
8,Phoenix Suns,W,P,55,27,0.6709999999999999,5.05,114.04,108.77,5.27,5.14,114.22,108.86,5.36,2008
9,Dallas Mavericks,W,SW,51,31,0.622,4.54,111.9,106.82,5.08,4.7,112.02,106.77,5.25,2008
10,Orlando Magic,E,SE,52,30,0.634,5.46,112.12,106.26,5.86,4.79,111.89,106.75,5.14,2008
11,Denver Nuggets,W,NW,50,32,0.61,3.71,110.46,106.95,3.51,3.74,110.48,106.93,3.55,2008
12,Toronto Raptors,E,A,41,41,0.5,2.9,111.06,107.46,3.6,2.47,110.99,107.86,3.12,2008
13,Golden State Warriors,W,P,48,34,0.585,2.21,112.46,110.24,2.22,2.38,112.59,110.19,2.39,2008
14,Philadelphia 76ers,E,A,40,42,0.488,0.41,107.38,106.91,0.47,0.19,107.25,107.01,0.24,2008
15,Portland Trail Blazers,W,NW,41,41,0.5,-0.98,107.97,109.07,-1.1,-0.52,108.11,108.73,-0.61,2008
16,Cleveland Cavaliers,E,C,45,37,0.5489999999999999,-0.35,106.66,107.15,-0.49,-0.52,106.58,107.23,-0.65,2008
17,Washington Wizards,E,SE,43,39,0.524,-0.33,110.03,110.39,-0.36,-0.6,110.06,110.71,-0.65,2008
18,Indiana Pacers,E,C,36,46,0.439,-1.4,106.69,108.2,-1.51,-1.86,106.47,108.47,-2.0,2008
19,Sacramento Kings,W,P,38,44,0.46299999999999997,-2.26,108.25,110.71,-2.45,-1.85,108.48,110.51,-2.03,2008
20,Atlanta Hawks,E,SE,37,45,0.451,-1.82,107.6,109.52,-1.92,-2.23,107.44,109.81,-2.37,2008
21,Chicago Bulls,E,C,33,49,0.402,-3.09,104.65,107.91,-3.26,-3.19,104.6,107.96,-3.36,2008
22,Charlotte Bobcats,E,SE,32,50,0.39,-4.38,105.39,110.22,-4.83,-4.48,105.43,110.36,-4.93,2008
23,New Jersey Nets,E,A,34,48,0.415,-5.06,104.61,110.25,-5.64,-5.15,104.6,110.32,-5.72,2008
24,Memphis Grizzlies,W,SW,22,60,0.268,-6.21,105.44,112.07,-6.62,-5.75,105.72,111.86,-6.14,2008
25,Minnesota Timberwolves,W,NW,22,60,0.268,-6.78,104.42,111.96,-7.54,-6.25,104.62,111.59,-6.97,2008
26,New York Knicks,E,A,23,59,0.28,-6.61,105.34,112.45,-7.11,-6.54,105.54,112.57,-7.03,2008
27,Los Angeles Clippers,W,P,23,59,0.28,-7.27,101.63,109.76,-8.14,-6.56,101.66,109.05,-7.38,2008
28,Milwaukee Bucks,E,C,26,56,0.317,-6.89,105.74,113.43,-7.68,-6.91,105.95,113.64,-7.69,2008
29,Seattle SuperSonics,W,NW,20,62,0.244,-8.76,101.17,110.16,-8.99,-8.04,101.3,109.54,-8.24,2008
30,Miami Heat,E,SE,15,67,0.183,-8.65,101.13,110.8,-9.68,-8.53,101.12,110.64,-9.52,2008
1,Cleveland Cavaliers,E,C,66,16,0.805,8.93,113.29,103.2,10.09,8.68,113.18,103.37,9.8,2009
2,Boston Celtics,E,A,62,20,0.7559999999999999,7.51,111.25,103.02,8.24,7.44,111.21,103.05,8.16,2009
3,Los Angeles Lakers,W,P,65,17,0.7929999999999999,7.66,113.43,105.29,8.14,7.11,113.0,105.45,7.55,2009
4,Orlando Magic,E,SE,59,23,0.72,6.7,109.66,102.58,7.08,6.49,109.52,102.66,6.86,2009
5,Portland Trail Blazers,W,NW,54,28,0.659,5.34,114.74,108.68,6.06,5.0,114.62,108.94,5.67,2009
6,Houston Rockets,W,SW,53,29,0.6459999999999999,4.0,109.22,104.67,4.55,3.73,108.94,104.69,4.25,2009
7,San Antonio Spurs,W,SW,54,28,0.659,3.76,109.18,105.01,4.17,3.36,108.79,105.05,3.74,2009
8,Denver Nuggets,W,NW,54,28,0.659,3.41,111.03,107.68,3.35,3.13,110.83,107.78,3.05,2009
9,Utah Jazz,W,NW,48,34,0.585,2.65,110.84,107.89,2.96,2.31,110.52,107.93,2.59,2009
10,Atlanta Hawks,E,SE,47,35,0.573,1.57,110.28,108.43,1.84,1.7,110.49,108.51,1.98,2009
11,Dallas Mavericks,W,SW,50,32,0.61,1.98,111.2,109.14,2.06,1.68,111.03,109.29,1.74,2009
12,Phoenix Suns,W,P,46,36,0.561,1.93,114.2,112.3,1.89,1.62,114.12,112.55,1.57,2009
13,New Orleans Hornets,W,SW,49,33,0.598,1.55,109.75,108.07,1.68,1.41,109.6,108.07,1.53,2009
14,Miami Heat,E,SE,43,39,0.524,0.26,108.34,108.28,0.06,0.49,108.56,108.24,0.32,2009
15,Philadelphia 76ers,E,A,41,41,0.5,0.07,108.79,108.79,0.0,0.16,108.89,108.79,0.1,2009
16,Chicago Bulls,E,C,41,41,0.5,-0.28,109.32,109.54,-0.22,-0.16,109.48,109.57,-0.09,2009
17,Detroit Pistons,E,C,39,43,0.47600000000000003,-0.49,108.21,108.79,-0.58,-0.36,108.34,108.78,-0.44,2009
18,Indiana Pacers,E,C,36,46,0.439,-1.11,108.76,109.88,-1.12,-0.76,109.13,109.86,-0.73,2009
19,Milwaukee Bucks,E,C,34,48,0.415,-1.09,107.44,108.61,-1.18,-0.87,107.6,108.54,-0.94,2009
20,Charlotte Bobcats,E,SE,35,47,0.42700000000000005,-1.27,105.42,107.01,-1.59,-1.19,105.43,106.93,-1.5,2009
21,New York Knicks,E,A,32,50,0.39,-2.61,108.7,111.41,-2.71,-2.33,109.03,111.44,-2.41,2009
22,New Jersey Nets,E,A,34,48,0.415,-2.44,109.14,111.85,-2.71,-2.31,109.33,111.89,-2.56,2009
23,Toronto Raptors,E,A,33,49,0.402,-2.82,107.72,110.69,-2.97,-2.53,107.99,110.66,-2.66,2009
24,Golden State Warriors,W,P,29,53,0.354,-3.74,109.94,113.76,-3.82,-3.8,109.98,113.86,-3.89,2009
25,Minnesota Timberwolves,W,NW,24,58,0.293,-4.91,106.75,112.18,-5.43,-4.74,106.78,112.0,-5.23,2009
26,Memphis Grizzlies,W,SW,24,58,0.293,-5.46,104.51,110.62,-6.12,-5.22,104.48,110.33,-5.84,2009
27,Oklahoma City Thunder,W,NW,23,59,0.28,-6.1,103.59,110.06,-6.47,-6.03,103.41,109.82,-6.41,2009
28,Washington Wizards,E,SE,19,63,0.23199999999999998,-7.46,105.98,114.23,-8.26,-6.98,106.39,114.11,-7.73,2009
29,Sacramento Kings,W,P,17,65,0.207,-8.76,106.3,115.64,-9.34,-8.59,106.32,115.5,-9.18,2009
30,Los Angeles Clippers,W,P,19,63,0.23199999999999998,-8.77,102.87,112.52,-9.65,-8.46,102.84,112.16,-9.31,2009
1,Orlando Magic,E,SE,59,23,0.72,7.49,112.13,104.0,8.13,7.12,112.02,104.28,7.73,2010
2,Cleveland Cavaliers,E,C,61,21,0.7440000000000001,6.52,112.27,105.07,7.21,6.17,112.29,105.47,6.82,2010
3,Utah Jazz,W,NW,53,29,0.6459999999999999,5.34,111.57,105.81,5.76,5.33,111.44,105.69,5.75,2010
4,San Antonio Spurs,W,SW,50,32,0.61,5.09,110.61,105.17,5.44,5.07,110.49,105.07,5.42,2010
5,Los Angeles Lakers,W,P,57,25,0.695,4.72,109.51,104.57,4.93,4.78,109.32,104.32,5.0,2010
6,Phoenix Suns,W,P,54,28,0.659,4.9,116.11,110.94,5.16,4.68,116.06,111.13,4.93,2010
7,Atlanta Hawks,E,SE,53,29,0.6459999999999999,4.66,112.6,107.6,5.0,4.44,112.67,107.91,4.77,2010
8,Denver Nuggets,W,NW,53,29,0.6459999999999999,4.09,112.32,108.21,4.11,4.15,112.26,108.06,4.2,2010
9,Oklahoma City Thunder,W,NW,50,32,0.61,3.49,109.18,105.43,3.75,3.55,109.06,105.23,3.82,2010
10,Portland Trail Blazers,W,NW,50,32,0.61,3.3,111.91,108.02,3.88,3.18,111.78,108.04,3.74,2010
11,Boston Celtics,E,A,50,32,0.61,3.66,108.65,104.62,4.03,3.37,108.5,104.79,3.72,2010
12,Dallas Mavericks,W,SW,55,27,0.6709999999999999,2.72,110.0,107.17,2.84,2.67,109.88,107.09,2.79,2010
13,Miami Heat,E,SE,47,35,0.573,2.28,107.63,105.06,2.57,2.0,107.58,105.32,2.26,2010
14,Milwaukee Bucks,E,C,46,36,0.561,1.7,105.74,103.81,1.94,1.38,105.68,104.09,1.59,2010
15,Charlotte Bobcats,E,SE,44,38,0.537,1.46,105.26,103.87,1.39,1.3,105.2,103.97,1.22,2010
16,Houston Rockets,W,SW,42,40,0.512,-0.37,108.37,108.79,-0.42,-0.01,108.4,108.45,-0.04,2010
17,Memphis Grizzlies,W,SW,40,42,0.488,-1.51,109.07,110.71,-1.64,-1.38,109.0,110.49,-1.49,2010
18,Toronto Raptors,E,A,40,42,0.488,-1.78,112.19,113.89,-1.69,-1.83,112.45,114.2,-1.75,2010
19,Chicago Bulls,E,C,41,41,0.5,-1.63,104.24,106.03,-1.79,-1.63,104.29,106.08,-1.79,2010
20,New Orleans Hornets,W,SW,37,45,0.451,-2.46,108.19,110.92,-2.73,-2.26,108.15,110.67,-2.52,2010
21,Indiana Pacers,E,C,32,50,0.39,-3.01,104.6,107.64,-3.04,-3.1,104.58,107.73,-3.14,2010
22,Golden State Warriors,W,P,26,56,0.317,-3.6,108.7,112.31,-3.61,-3.28,108.77,112.05,-3.28,2010
23,New York Knicks,E,A,29,53,0.354,-3.82,108.22,112.2,-3.98,-4.01,108.33,112.52,-4.19,2010
24,Sacramento Kings,W,P,25,57,0.305,-4.37,106.05,110.82,-4.76,-4.06,106.09,110.52,-4.42,2010
25,Philadelphia 76ers,E,A,27,55,0.32899999999999996,-3.9,106.93,111.35,-4.42,-3.93,107.15,111.58,-4.43,2010
26,Washington Wizards,E,SE,26,56,0.317,-4.78,105.11,110.41,-5.3,-4.72,105.34,110.57,-5.23,2010
27,Detroit Pistons,E,C,27,55,0.32899999999999996,-5.11,106.6,112.41,-5.82,-5.02,106.78,112.48,-5.7,2010
28,Los Angeles Clippers,W,P,29,53,0.354,-6.35,104.07,111.02,-6.95,-6.01,104.04,110.61,-6.57,2010
29,Minnesota Timberwolves,W,NW,15,67,0.183,-9.6,102.34,112.31,-9.97,-9.06,102.38,111.78,-9.4,2010
30,New Jersey Nets,E,A,12,70,0.146,-9.12,101.54,111.56,-10.02,-8.93,101.75,111.54,-9.79,2010
1,Miami Heat,E,SE,58,24,0.7070000000000001,7.46,112.62,104.35,8.27,6.76,112.43,104.94,7.49,2011
2,Chicago Bulls,E,C,62,20,0.7559999999999999,7.32,109.3,101.07,8.23,6.53,109.02,101.65,7.37,2011
3,Los Angeles Lakers,W,P,57,25,0.695,6.11,111.61,105.0,6.61,6.01,111.4,104.89,6.51,2011
4,San Antonio Spurs,W,SW,61,21,0.7440000000000001,5.71,112.31,106.23,6.07,5.86,112.22,105.97,6.25,2011
5,Orlando Magic,E,SE,52,30,0.634,5.46,108.78,102.87,5.91,4.92,108.63,103.31,5.32,2011
6,Boston Celtics,E,A,56,26,0.6829999999999999,5.37,107.36,101.46,5.9,4.83,107.03,101.73,5.3,2011
7,Denver Nuggets,W,NW,50,32,0.61,4.76,112.84,108.03,4.82,4.81,112.73,107.84,4.89,2011
8,Dallas Mavericks,W,SW,57,25,0.695,4.23,110.24,105.76,4.49,4.41,110.08,105.4,4.68,2011
9,Oklahoma City Thunder,W,NW,55,27,0.6709999999999999,3.79,112.2,108.06,4.14,3.81,112.09,107.93,4.16,2011
10,Memphis Grizzlies,W,SW,46,36,0.561,2.34,108.52,105.98,2.55,2.55,108.42,105.65,2.77,2011
11,Houston Rockets,W,SW,43,39,0.524,2.18,112.02,109.67,2.35,2.37,112.07,109.51,2.56,2011
12,Portland Trail Blazers,W,NW,48,34,0.585,1.52,109.78,107.93,1.85,1.85,109.73,107.54,2.19,2011
13,New Orleans Hornets,W,SW,46,36,0.561,0.89,107.25,106.19,1.06,1.28,107.18,105.7,1.48,2011
14,Philadelphia 76ers,E,A,41,41,0.5,1.5,107.62,106.02,1.6,1.01,107.55,106.48,1.07,2011
15,New York Knicks,E,A,42,40,0.512,0.78,111.76,110.92,0.84,0.48,112.0,111.48,0.51,2011
16,Phoenix Suns,W,P,40,42,0.488,-0.89,110.2,111.15,-0.94,-0.46,110.35,110.83,-0.47,2011
17,Milwaukee Bucks,E,C,35,47,0.42700000000000005,-0.84,102.47,103.46,-1.0,-1.01,102.29,103.48,-1.18,2011
18,Atlanta Hawks,E,SE,44,38,0.537,-0.82,107.01,107.96,-0.95,-1.1,107.03,108.29,-1.26,2011
19,Indiana Pacers,E,C,37,45,0.451,-1.07,105.53,106.73,-1.2,-1.37,105.54,107.07,-1.53,2011
20,Utah Jazz,W,NW,39,43,0.47600000000000003,-1.83,108.95,111.05,-2.1,-1.44,109.08,110.75,-1.67,2011
21,Golden State Warriors,W,P,36,46,0.439,-2.33,108.96,111.39,-2.43,-2.0,109.0,111.08,-2.08,2011
22,Los Angeles Clippers,W,P,32,50,0.39,-3.13,106.24,109.78,-3.54,-2.71,106.23,109.31,-3.08,2011
23,Detroit Pistons,E,C,30,52,0.366,-3.6,108.37,112.5,-4.13,-3.78,108.65,112.98,-4.33,2011
24,Charlotte Bobcats,E,SE,34,48,0.415,-4.0,104.32,108.92,-4.6,-4.08,104.43,109.11,-4.67,2011
25,Sacramento Kings,W,P,24,58,0.293,-5.34,104.18,109.82,-5.65,-4.8,104.16,109.24,-5.07,2011
26,Minnesota Timberwolves,W,NW,17,65,0.207,-6.63,104.84,111.69,-6.85,-5.97,104.93,111.07,-6.15,2011
27,Toronto Raptors,E,A,22,60,0.268,-6.28,106.85,113.57,-6.72,-6.28,107.17,113.88,-6.72,2011
28,New Jersey Nets,E,A,24,58,0.293,-6.24,103.99,110.94,-6.95,-6.28,104.11,111.1,-6.99,2011
29,Washington Wizards,E,SE,23,59,0.28,-7.4,103.12,110.93,-7.81,-7.3,103.39,111.09,-7.71,2011
